time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/loss,train/n_updates,train/learning_rate,train/clip_fraction,train/value_loss,train/clip_range
116352,1105,35.328832039999995,909,496.83,105,-0.017514026490971446,0.025587436,0.7818551659584045,-0.8828375414013863,1.2260068655014038,3632,0.001,0.1953125,3.663205660879612,0.2
116480,1105,35.90727288,910,488.01,105,0.003488000074867159,0.010542231,0.4247492551803589,-0.7340373285114765,228.7913055419922,3636,0.001,0.08203125,439.69104039669037,0.2
116608,1106,35.90727288,911,488.01,105,-0.0026958001544699073,0.0011151903,0.8713055849075317,-0.7048354558646679,75.43119812011719,3640,0.001,0.0,140.55443048477173,0.2
116736,1107,33.410339099999995,912,481.4,105,-0.0016944652888923883,0.0005705985,0.9485105276107788,-0.8505737632513046,5.606281757354736,3644,0.001,0.0,16.591144680976868,0.2
116864,1107,33.410339099999995,913,481.4,105,-0.0031976153841242194,0.0033439542,0.8430288434028625,-0.7211625203490257,89.9676742553711,3648,0.001,0.0078125,182.81566286087036,0.2
116992,1108,31.52612188999999,914,475.04,105,-0.011131980689242482,0.041852724,0.8795415759086609,-0.7258898131549358,1.21334969997406,3652,0.001,0.234375,4.273508921265602,0.2
117120,1109,30.57304917,915,466.55,105,-0.0012083579786121845,0.0009003789,0.26731163263320923,-0.7502487637102604,58.962799072265625,3656,0.001,0.0,534.1568803787231,0.2
117248,1109,30.57304917,916,466.55,105,-0.0021057422272861004,0.00093492353,0.902377188205719,-0.6640235707163811,93.99549102783203,3660,0.001,0.0,233.52806615829468,0.2
117376,1109,30.57304917,917,466.55,105,-0.003679487039335072,0.0100307325,0.9297122955322266,-0.7173750661313534,1.8611353635787964,3664,0.001,0.033203125,4.809943228960037,0.2
117504,1110,33.91228672,918,462.64,105,0.0032668225758243352,0.0028769625,-0.07688736915588379,-0.5918163899332285,70.7614974975586,3668,0.001,0.00390625,245.44259452819824,0.2
117632,1111,33.91228672,919,462.64,105,-0.002532617247197777,0.0014177463,0.24282681941986084,-0.6864959895610809,4.194806098937988,3672,0.001,0.00390625,122.02389305830002,0.2
117760,1111,33.91228672,920,462.64,105,-0.007517060148529708,0.0060684714,0.8002773523330688,-0.7828077748417854,1.6227694749832153,3676,0.001,0.015625,5.267636641860008,0.2
117888,1111,35.09373006,921,458.22,106,0.004084146115928888,0.0012245844,-0.14111542701721191,-0.5994385853409767,116.06526184082031,3680,0.001,0.0,252.38362312316895,0.2
118016,1112,32.44434613999999,922,454.98,106,-0.000513120205141604,7.221615e-05,0.6787378191947937,-0.5239839553833008,158.1719512939453,3684,0.001,0.0,310.01274394989014,0.2
118144,1113,32.44434613999999,923,454.98,106,-0.0019757128320634365,0.001856789,0.8895168900489807,-0.7110263891518116,44.230709075927734,3688,0.001,0.0,190.30295705795288,0.2
118272,1113,32.44434613999999,924,454.98,106,-0.0013350937515497208,0.00065801386,0.8331397175788879,-0.7193622328341007,0.48066213726997375,3692,0.001,0.0,3.001368474215269,0.2
118400,1114,31.177324749999997,925,448.01,106,0.0030490830540657043,0.024911562,0.9263284206390381,-0.8078636862337589,19.060073852539062,3696,0.001,0.20703125,58.20021349191666,0.2
118528,1114,31.177324749999997,926,448.01,106,-0.0032650981447659433,0.012868503,0.6713706254959106,-0.826190322637558,74.02767944335938,3700,0.001,0.060546875,80.15083228051662,0.2
